Bid Prices,Bid Dates,Location,Amount
8000,APRIL,ELK GROVE,4000
4000,MARCH,SAN LUIS OBISBO,2000
9000,SEPTEMBER,MADERA,3500
2000,AUGUST,FRESNO,500
7000,JULY,MERCED,4000
10000,JUNE,LOS ANGELES,6000
11000,JULY,BAKERSFIELD,6500
6000,SEPTEMBER,POMONA,3500
7000,DECEMBER,TURLOCK,3000
5500,FEBURARY,VISALIA,2000
7500,DECEMBER,SAN FRANCISCO,4500
8500,JANURARY,BERKLEY,6000
15000,DECEMBER,MERCED,10000
4000,APRIL,SAN JOSE,2000
7000,SEPTEMBER,POMONA,4500
9000,JULY,SAN LUIS OBISBO,4500
8500,NOVEMBER,MADERA,3500
